author,title
"Павел Шубин","Венера. Неукротимая планета"
"Алексей Леонов","Две стороны Луны. Космическая гонка времен холодной войны"
"Яков Перельман","Занимательная математика"
"Карл Саган","Мозг Брока. О науке, космосе и человеке"
"Сергей Язев","Вселенная. Путешествие во времени и пространстве"
"Сергей Язев","Лекции о Солнце"
"Николай Горькавый","Пульсирующая Вселенная"
"Стивен Вайнберг","Все еще неизвестная вселенная: мысли о физике, искусстве и кризисе в науке"
"Брайан Грин","До конца времен. Сознание, материя и поиски смысла в меняющейся Вселенной"
"Брайан Грин","Скрытая реальность: параллельные миры и глубинные законы космоса"
"Брайан Грин","Ткань космоса: пространство, время и текстура реальности"
"Брайан Грин","Элегантная Вселенная: суперструны, скрытые размерности и поиски окончательной теории"
"Антонио Падилья","Удивительные числа Вселенной. Путешествие за грань воображения"
"Элизабет Таскер","Фабрика планет. Экзопланеты и поиски второй Земли"
"Андрей Киселев","Алгебра"
"Андрей Киселев","Геометрия"
"Стивен Вайнберг","Мечты об окончательной теории: физика в поисках самых фундаментальных законов природы"
"Стивен Вайнберг","Первые три минуты. Современный взгляд на происхождение Вселенной"
"Эмиль Ахмедов","Картины фундаментальной физики"
"Юрий Батурин","Властелины бесконечности: космонавт о профессии и судьбе"
"Анатолий Засов, Владимир Сурдин","Астрономия"
"Ави Леб","Внеземной. В поисках инопланетного разума"
"Стивен Хокинг","На плечах гигантов. Хронология революционных идей о природе Вселенной"
"Стивен Хокинг","Кратчайшая история времени. На перекрестке астрофизики и философии"
"Стивен Хокинг","Черные дыры и молодые вселенные. Космическое путешествие сквозь пространство и время"
"Вячеслав Климентов, Ольга Низовцева","Космическая эра. Истории покорения космоса"
"Вячеслав Климентов","Гагарин. Удивительная история первого полёта"
"Стивен Уокер","Первый: новая история Гагарина и космической гонки"
"Стивен Хокинг","О Вселенной в двух словах. Краеугольные камни и острые углы науки о макрокосмосе"
"Стивен Хокинг","Теория всего. От сингулярности до бесконечности: происхождение и судьба Вселенной"
"Стивен Хокинг","Вселенная Стивена Хокинга. История макрокосмоса. История человека"
"Стивен Хокинг","Высший замысел. Взгляд астрофизиков на сотворение мира"
"Александр Панов","Универсальная эволюция и проблема поиска внеземного разума (SETI)"
"Николай Верещагин, Александр Шень","Языки и исчисления"
"Николай Верещагин, Александр Шень","Начала теории множеств"
"Сергей Попов","Все формулы мира: как математика объясняет законы природы"
"Павел Попов","Общедоступная практическая астрономия"
"Иван Соколов","Курс физики для средней школы"
"Алан Стерн, Дэвид Гринспун","За новыми горизонтами. Первый полет к Плутону"
"Карл Саган","Миллиарды и миллиарды: размышления о жизни и смерти на рубеже тысячелетий"
"Карл Саган","Мир, полный демонов. Наука - как свеча во тьме"
"Иосиф Шкловский","Вселенная, жизнь, разум"
"Яков Зельдович","Драма идей в познании природы"
"Леонид Сикорук","Любительская астрофотография"
"Леонид Еленин","Кометы. Странники Солнечной системы"
"Сергей Попов","Суперобъекты: звезды размером с город"
"Борис Штерн","Ковчег 47 Либра"
"Стивен Хокинг","Краткая история времени. От Большого взрыва до черных дыр"
"Александр Фридман","Мир как пространство и время"
